Year,Code,Region,Standard_domestic_meters_thousands,E7_domestic_meters_thousands,Domestic_meters_thouasands,Non_domestic_meters_thousands,All_meters_thousands,Standard_domestic_consumption_GWh,E7_domestic_consumption_GWh,Domestic_consumption_GWh,Non_domestic_consumption_GWh,All_consumption_GWh,Standard_domestic_mean_consumption_KWh,E7_domestic_mean_consumption_KWh_per_meter,Domestic_mean_consumption_KWh_per_meter,Non_domestic_mean_consumption_KWh_per_meter,All_mean_consumption_kWh_per_meter,Standard_domestic_median_consumption_kWh_per_meter,E7_domestic_median_consumption_kWh_per_meter,Domestic_median_consumption_kWh_per_meter,Non_domestic_median_consumption_kWh_per_meter,All_median_consumption_kWh_per_meter,Domestic_mean_consumption_kWh_per_household
2005,K03000001,Great Britain,,,25948.94,2446.01,28394.95,,,119424.9043,200889.4664,320314.3707,,,4602.303766,82129.45427,11280.68092,,,,,,
2005,E92000001,England,,,21929.97,2069.524,23999.494,,,101267.4406,166681.4599,267948.9005,,,4617.764666,80540.96494,11164.77291,,,,,,
2005,E12000001,North East,,,1170.117,82.182,1252.299,,,4548.256908,9348.763511,13897.02042,,,3887.010366,113756.8264,11097.20635,,,,,,
2005,E12000002,North West,,,2910.574,236.806,3147.38,,,13177.29872,23114.72753,36292.02625,,,4527.388316,97610.39639,11530.86893,,,,,,
2005,E12000003,Yorkshire and The Humber,,,2269.004,181.093,2450.097,,,9803.55054,17032.07064,26835.62118,,,4320.640484,94051.51298,10952.88112,,,,,,
2005,E12000004,East Midlands,,,1911.397,161.378,2072.775,,,8643.940705,15294.27905,23938.21975,,,4522.315723,94773.0115,11548.87518,,,,,,
2005,E12000005,West Midlands,,,2130.54,186.592,2317.132,,,10315.15396,16938.70726,27253.86122,,,4841.567846,90779.38635,11761.89411,,,,,,
2005,E12000006,East,,,2440.146,218.023,2658.169,,,12081.15933,17191.93829,29273.09763,,,4950.998561,78853.78282,11012.50433,,,,,,
2005,E12000007,London,,,3248.592,421.08,3669.672,,,13885.20594,27549.65127,41434.85721,,,4274.222782,65426.16907,11291.16096,,,,,,
2005,E12000008,South East,,,3551.823,339.902,3891.725,,,17357.61265,24399.76822,41757.38087,,,4886.958794,71784.71508,10729.78714,,,,,,
2005,E12000009,South West,,,2297.777,242.468,2540.245,,,11455.26185,15811.55415,27266.816,,,4985.367098,65210.89029,10733.93157,,,,,,
2005,W92000004,Wales,,,1316.723,128.443,1445.166,,,5655.512524,11911.63513,17567.14765,,,4295.142201,92738.68662,12155.79916,,,,,,
2005,S92000003,Scotland,,,2675.722,227.345,2903.067,,,12391.50234,17113.81955,29505.3219,,,4631.087364,75276.86799,10163.50015,,,,,,
2005,Unallocated,Unallocated,,,26.525,20.698,47.223,,,110.4488052,5182.551827,5293.000633,,,4163.951186,250389.0148,112085.2261,,,,,,
2006,K03000001,Great Britain,,,26433.816,2440.644,28874.46,,,117816.5034,200015.2753,317831.7787,,,4457.037281,81951.84359,11007.36702,,,,,,
2006,E92000001,England,,,22389.068,2080.7,24469.768,,,100011.8752,168500.0172,268511.8924,,,4466.995911,80982.36995,10973.20957,,,,,,
2006,E12000001,North East,,,1173.785,82.412,1256.197,,,4494.073764,9314.657385,13808.73115,,,3828.702671,113025.4985,10992.48856,,,,,,
2006,E12000002,North West,,,3064.163,242.567,3306.73,,,13110.64818,23354.8226,36465.47078,,,4278.704553,96281.9452,11027.65293,,,,,,
2006,E12000003,Yorkshire and The Humber,,,2272.753,179.54,2452.293,,,9564.316057,17157.17633,26721.49239,,,4208.251428,95561.85991,10896.53332,,,,,,
2006,E12000004,East Midlands,,,1927.675,161.288,2088.963,,,8510.221412,14989.14741,23499.36882,,,4414.759444,92934.05219,11249.29873,,,,,,
2006,E12000005,West Midlands,,,2324.807,200.926,2525.733,,,10436.20647,17299.68018,27735.88665,,,4489.063597,86099.75902,10981.32172,,,,,,
2006,E12000006,East,,,2456.868,217.366,2674.234,,,11973.36063,16827.18554,28800.54617,,,4873.424472,77414.06448,10769.64326,,,,,,
2006,E12000007,London,,,3267.367,415.439,3682.806,,,13700.84557,29142.52349,42843.36906,,,4193.237421,70148.74263,11633.34943,,,,,,
2006,E12000008,South East,,,3564.967,337.106,3902.073,,,17041.13131,24632.00673,41673.13803,,,4780.165232,73069.02495,10679.74331,,,,,,
2006,E12000009,South West,,,2336.683,244.056,2580.739,,,11181.07181,15782.8175,26963.88931,,,4785.018682,64668.83624,10448.12719,,,,,,
2006,W92000004,Wales,,,1328.494,125.084,1453.578,,,5599.776991,11794.25746,17394.03445,,,4215.131563,94290.69629,11966.35781,,,,,,
2006,S92000003,Scotland,,,2695.935,225.006,2920.941,,,12116.55806,17310.74638,29427.30444,,,4494.380636,76934.59897,10074.59734,,,,,,
2006,Unallocated,Unallocated,,,20.319,9.854,30.173,,,88.2931389,2410.254354,2498.547493,,,4345.348634,244596.5449,82807.39378,,,,,,
2007,K03000001,Great Britain,,,26670.293,2434.873,29105.166,,,117126.2088,192543.2577,309669.4665,,,4391.635621,79077.33081,10639.67361,,,,,,4662
